classification,region_name,npoints
NUTS2,ITI1,41
NUTS2,ITI2,15
NUTS2,ITI3,17
NUTS2,ITI4,31
NUTS2,LT01,22
NUTS2,LT02,127
NUTS2,LU00,5
NUTS2,LV00,153
NUTS2,ME00,26
NUTS2,MK00,46
NUTS2,NL11,5
NUTS2,NL12,8
NUTS2,NL13,6
NUTS2,NL21,8
NUTS2,NL22,9
NUTS2,NL23,5
NUTS2,NL31,5
NUTS2,NL32,7
NUTS2,NL33,6
NUTS2,NL34,6
NUTS2,NL41,11
NUTS2,NL42,3
NUTS2,NO01,15
NUTS2,NO02,137
NUTS2,NO03,97
NUTS2,NO04,60
NUTS2,NO05,133
NUTS2,NO06,115
NUTS2,NO07,390
NUTS2,PL21,31
NUTS2,PL22,25
NUTS2,PL41,64
NUTS2,PL42,49
NUTS2,PL43,27
NUTS2,PL51,43
NUTS2,PL52,17
NUTS2,PL61,37
NUTS2,PL62,54
NUTS2,PL63,41
NUTS2,PL71,40
NUTS2,PL72,24
NUTS2,PL81,50
NUTS2,PL82,37
NUTS2,PL84,43
NUTS2,PL91,14
NUTS2,PL92,57
NUTS2,PT11,35
NUTS2,PT15,7
NUTS2,PT16,47
NUTS2,PT17,6
NUTS2,PT18,53
NUTS2,RO11,63
NUTS2,RO12,64
NUTS2,RO21,66
NUTS2,RO22,63
NUTS2,RO31,66
NUTS2,RO32,2
NUTS2,RO41,55
NUTS2,RO42,58
NUTS2,RS11,5
NUTS2,RS12,39
NUTS2,RS21,47
NUTS2,RS22,48
NUTS2,SE11,17
NUTS2,SE12,110
NUTS2,SE21,88
NUTS2,SE22,31
NUTS2,SE23,83
NUTS2,SE31,189
NUTS2,SE32,221
NUTS2,SE33,526
NUTS2,SI03,23
NUTS2,SI04,15
NUTS2,SK01,4
NUTS2,SK02,30
NUTS2,SK03,30
NUTS2,SK04,31
NUTS2,TR10,6
NUTS2,TR21,32
NUTS2,TR22,38
NUTS2,TR31,20
NUTS2,TR32,49
NUTS2,TR33,78
NUTS2,TR41,52
NUTS2,TR42,36
NUTS2,TR51,43
NUTS2,TR52,81
NUTS2,TR61,60
NUTS2,TR62,46
NUTS2,TR63,31
NUTS2,TR71,53
NUTS2,TR72,66
NUTS2,TR81,16
NUTS2,TR82,40
NUTS2,TR83,67
NUTS2,TR90,2
NUTS2,TRC1,4
NUTS2,UKC1,6
NUTS2,UKC2,12
NUTS2,UKD1,16
NUTS2,UKD3,3
NUTS2,UKD4,6
NUTS2,UKD6,6
NUTS2,UKD7,2
NUTS2,UKE1,8
NUTS2,UKE2,20
NUTS2,UKE3,4
NUTS2,UKE4,3
NUTS2,UKF1,9
NUTS2,UKF2,11
NUTS2,UKF3,15
NUTS2,UKG1,13
NUTS2,UKG2,12
NUTS2,UKG3,2
NUTS2,UKH1,25
NUTS2,UKH2,7
NUTS2,UKH3,7
NUTS2,UKI3,1
NUTS2,UKI5,1
NUTS2,UKJ1,12
NUTS2,UKJ2,10
NUTS2,UKJ3,8
NUTS2,UKJ4,6
NUTS2,UKK1,14
NUTS2,UKK2,14
NUTS2,UKK3,8
NUTS2,UKK4,14
NUTS2,UKL1,30
NUTS2,UKL2,14
NUTS2,UKM5,14
NUTS2,UKM6,96
NUTS2,UKM7,27
NUTS2,UKM8,4
NUTS2,UKM9,39
NUTS2,UKN0,32
